year_cat,counts,animals
2005-2006,179111,buffaloes
2006-2007,203604,buffaloes
2007-2008,173160,buffaloes
2008-2009,35061,buffaloes
2009-2010,46208,buffaloes
2010-2011,81071,buffaloes
2011-2012,60566,buffaloes
2012-2013,58969,buffaloes
2013-2014,103927,buffaloes
2014-2015,76235,buffaloes
2005-2006,279101,goat
2006-2007,275259,goat
2007-2008,279098,goat
2008-2009,333305,goat
2009-2010,476623,goat
2010-2011,476104,goat
2011-2012,411088,goat
2012-2013,399446,goat
2013-2014,495194,goat
2014-2015,466742,goat
